name,priority,image
Zolon Healthcare,303,
Zentiva,302,
Wockhardt,301,
Win-Medicare,300,
White House,299,
Wenzhou Classic Packing Ltd,298,
VSSCO,297,
Vixa Pharmaceutical,296,
Vitane,295,
Vitabiotics Nigeria Limited,294,
Vitabiotics,293,
Vita Care PVT LTD,292,
Vins,291,
Valupak,290,
Uvex,289,
UST Corporation,288,
Unique Pharmaceuticals,287,
Union Swiss,286,
Unicure Pharmaceuticals,285,
Unichem,284,
Uni-medical Healthcare,283,
UCB Pharma,282,
U-Mec,281,
Tuyil Pharm,280,
Titan Natural Ltd,279,
Tiger Balm,278,
Thornton and Ross Ltd,277,
The Mentholatum,276,
Teva,275,
Taylek Drugs,274,
Sylken Limited,273,
Swiss Precision Diagnostics GmbH,272,
Swipha,271,
Sure Health & Beauty,270,
Sun Pharma,269,
Sumitomo Chemical Company,268,
Strides Shasun,267,
Sterling Drugs,266,
Standard Generics,265,
Sri Trang,264,
Society for Family Health,263,
SKT Healthcare,262,
SKG Pharma Limited,261,
Silver Healthcare,260,
Sii,259,
Sheffield Pharmaceuticals,258,
Shalina Healthcare,257,
Seven Seas,256,
Servier,255,
Serum Institute Of India,254,
Septona,253,
Seagreen Pharmaceuticals,252,
SD Biosensor,251,
Saro Lifecare,250,
Sarantis,249,
Sanofi,248,
Sam Pharmaceuticals,247,
Sagar Vitaceutical,246,
Safi,245,
Saffron,244,
Ruzu Herbal Products,243,
Rotex Medica,242,
Rossmax Swiss GmbH,241,
Rohto Pharmaceutical Company,240,
Roche,239,
Rich Resource Global,238,
Reproaid,237,
Reload,236,
Reckitt Benckiser,235,
Reals Pharmaceuticals Limited,234,
Reagan Remedies,233,
Ranbaxy Nigeria Limited,232,
Qualiphar,231,
Pulse Pharmaceuticals,230,
Procter & Gamble,229,
Prisma Pharmaceuticals,228,
Prevail,227,
Popular Pharmaceuticals,226,
Plush Organics,225,
Pinnacle Health Pharm Ltd,224,
Pharmaton,223,
Pharmacy Plus,222,
Pharma-Deko PLC,221,
Pharma Max,220,
Pharma Ethics,219,
Phamatex Industries,218,
Pfizer Consumer Healthcare,217,
Pfizer,216,
Perigo,215,
Pemason Pharmaceuticals,214,
PeakPharm,213,
Parke Davis and co.,212,
Others,211,
Osang Healthcare,210,
Optrex,209,
Omega Pharma Limited,208,
Olpharm Nigeria,207,
Olive Healthcare,206,
Ofidy Global,205,
Oculus Pharmacare,204,
Oakleaf Pharmaceuticals,203,
Oak-Faith Pharmaceuticals,202,
Nuestra,201,
Novo Nordisk Pharmaceuticals,200,
Novartis,199,
Nitin Pharmaceuticals,198,
Nino Pharmaceuticals,197,
NGC PLC,196,
New Height Pharma Distribution,195,
New Healthway Company,194,
Nemel Pharmaceuticals,193,
Neimeth,192,
Nectar Healthcare,191,
Nature's Way,190,
Nature's Field,189,
Nature Care,188,
Nanjing Bajingyu Pharmaceuticals,187,
MYK,186,
Mundi Pharma,185,
MSN Laboratories,184,
MSG company,183,
Moxie,182,
Mopson Pharmaceutical,181,
Miral Pharm,180,
MIMS,179,
Micropoint Bioscience,178,
Micro Nova,177,
Mic-Micro labs,176,
Meyer Organics,175,
Merit,174,
Merck,173,
Mentholatum Company,172,
Mega Lifescience,171,
Medreich,170,
Medop Healthcare,169,
Medisure,168,
Medicom Healthcare,167,
Medi Scan,166,
Mecure Industries,165,
McW Healthcare,164,
McNeil Products Limited,163,
Maxivision,162,
MASSIVE,161,
Mass Pharma Ltd,160,
